TestFunction,DrawMethod,dim,nPoints,log2n,shift,baker,rDrawn,mean,var,skew,kurt,MSE[A_r],MSE[M_r],datfile
IndSumNormal,Lat,4,256,8,rqmc,True,19,-0.0001732226814568,0.0001319595648193,-0.0651908935896704,2.855413829672079,6.945240253649271e-06,1.2739541807503044e-05,IndSumNormal-4-Lat-RSB-8-10000.dat
IndSumNormal,Lat,4,256,8,rqmc,True,23,-0.0001732226814568,0.0001319595648193,-0.0651908935896704,2.855413829672079,5.737372383449397e-06,1.0508608168311454e-05,IndSumNormal-4-Lat-RSB-8-10000.dat
IndSumNormal,Lat,4,256,8,rqmc,True,27,-0.0001732226814568,0.0001319595648193,-0.0651908935896704,2.855413829672079,4.8873912896050425e-06,9.320373214777195e-06,IndSumNormal-4-Lat-RSB-8-10000.dat
IndSumNormal,Lat,4,256,8,rqmc,True,31,-0.0001732226814568,0.0001319595648193,-0.0651908935896704,2.855413829672079,4.256760155462456e-06,8.248528366617009e-06,IndSumNormal-4-Lat-RSB-8-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,False,7,-8.28127520681352e-06,1.372445082664492e-05,-0.0216268933020387,2.803180648952344,1.9606358323778456e-06,3.064206940993456e-06,IndSumNormal-4-Lat-RS-10-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,False,11,-8.28127520681352e-06,1.372445082664492e-05,-0.0216268933020387,2.803180648952344,1.247677347876811e-06,2.049815037582471e-06,IndSumNormal-4-Lat-RS-10-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,False,15,-8.28127520681352e-06,1.372445082664492e-05,-0.0216268933020387,2.803180648952344,9.149633884429948e-07,1.5152490284154562e-06,IndSumNormal-4-Lat-RS-10-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,False,19,-8.28127520681352e-06,1.372445082664492e-05,-0.0216268933020387,2.803180648952344,7.22339517191838e-07,1.2311318409942272e-06,IndSumNormal-4-Lat-RS-10-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,False,23,-8.28127520681352e-06,1.372445082664492e-05,-0.0216268933020387,2.803180648952344,5.967152533323878e-07,1.0452502570335216e-06,IndSumNormal-4-Lat-RS-10-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,False,27,-8.28127520681352e-06,1.372445082664492e-05,-0.0216268933020387,2.803180648952344,5.083129935794415e-07,9.034989486169746e-07,IndSumNormal-4-Lat-RS-10-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,False,31,-8.28127520681352e-06,1.372445082664492e-05,-0.0216268933020387,2.803180648952344,4.4272422021435227e-07,8.02119618605723e-07,IndSumNormal-4-Lat-RS-10-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,True,7,-5.61328377067992e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,4.993039505822324e-06,7.439766841209647e-06,IndSumNormal-4-Lat-RSB-10-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,True,11,-5.61328377067992e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,3.177388776432388e-06,4.983914256469235e-06,IndSumNormal-4-Lat-RSB-10-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,True,15,-5.61328377067992e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,2.3300851027170844e-06,3.6564562717713856e-06,IndSumNormal-4-Lat-RSB-10-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,True,19,-5.61328377067992e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,1.8395408705661195e-06,2.9470923079711955e-06,IndSumNormal-4-Lat-RSB-10-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,True,23,-5.61328377067992e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,1.519620719163316e-06,2.4899215843303657e-06,IndSumNormal-4-Lat-RSB-10-10000.dat
IndSumNormal,Lat,4,1024,10,rqmc,True,27,-5.61328377067992e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,1.2944917237317136e-06,2.133607764592808e-06,IndSumNormal-4-Lat-RSB-10-10000.dat
