TestFunction,DrawMethod,dim,nPoints,log2n,shift,baker,rDrawn,mean,var,skew,kurt,MeanOfMeans,MedianOfMeans,LeeValiant,MinskerNdaoud(3),MinskerNdaoud(2),MinskerNdaoud(3;1.0)
IndSumNormal,Lat,4,256,8,rqmc,True,27,-2.6347681456933502e-05,7.286863708496099e-05,0.08774118573235203,2.9907679690543802,2.679847261089187e-06,5.463845067805609e-06,5.181957015681072e-06,3.1873769891597166e-06,2.8823974407340457e-06,2.831549136040537e-06
IndSumNormal,Lat,4,256,8,rqmc,True,31,-0.00017322268145689433,0.00013195956481933615,-0.06519089358967046,2.855413829672079,4.316795272389193e-06,8.248528366617009e-06,8.276504852054315e-06,5.023648055408282e-06,4.598623591102097e-06,4.531771374332956e-06
IndSumNormal,Lat,4,256,8,rqmc,True,31,-2.6347681456933502e-05,7.286863708496099e-05,0.08774118573235203,2.9907679690543802,2.366326041064756e-06,4.978898718574441e-06,4.652540066499741e-06,2.700569497189797e-06,2.523123205311343e-06,2.4570568927792115e-06
IndSumNormal,Lat,4,1024,10,rqmc,True,7,-5.6132837706799196e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,4.949704841999902e-06,7.439766841209647e-06,7.88563600496809e-06,9.835476732733e-06,6.620006364733477e-06,7.417991497078865e-06
IndSumNormal,Lat,4,1024,10,rqmc,True,7,-8.28127520681352e-06,1.372445082664492e-05,-0.021626893302038715,2.8031806489523436,1.9654599638160445e-06,3.064206940993456e-06,3.2225411071147194e-06,3.83481428325039e-06,2.6155054157573314e-06,2.9663447322570787e-06
IndSumNormal,Lat,4,1024,10,rqmc,True,11,-5.6132837706799196e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,3.210957157387978e-06,4.983914256469235e-06,5.282280171070037e-06,4.937107906356843e-06,3.85921915747533e-06,3.853048641661072e-06
IndSumNormal,Lat,4,1024,10,rqmc,True,11,-8.28127520681352e-06,1.372445082664492e-05,-0.021626893302038715,2.8031806489523436,1.2450265880695954e-06,2.049815037582471e-06,2.1502711760117505e-06,1.9805379348471563e-06,1.489100786205595e-06,1.5308679460913608e-06
IndSumNormal,Lat,4,1024,10,rqmc,True,15,-8.28127520681352e-06,1.372445082664492e-05,-0.021626893302038715,2.8031806489523436,8.999625563341329e-07,1.5152490284154562e-06,1.5842420158692827e-06,1.2280041371849323e-06,1.0323841319675837e-06,1.0080605549155992e-06
IndSumNormal,Lat,4,1024,10,rqmc,True,15,-5.6132837706799196e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,2.326509208614681e-06,3.6564562717713856e-06,3.862559968958951e-06,3.1420058183785508e-06,2.638951641541188e-06,2.578673287740958e-06
IndSumNormal,Lat,4,1024,10,rqmc,True,19,-5.6132837706799196e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,1.8477665425975696e-06,2.9470923079711955e-06,3.1164405968269187e-06,2.326416330423708e-06,2.0327631254957254e-06,1.985977674577053e-06
IndSumNormal,Lat,4,1024,10,rqmc,True,19,-8.28127520681352e-06,1.372445082664492e-05,-0.021626893302038715,2.8031806489523436,7.121847305882937e-07,1.2311318409942272e-06,1.2818587048964544e-06,9.284065960072207e-07,8.031858942005983e-07,7.824605425165578e-07
IndSumNormal,Lat,4,1024,10,rqmc,True,23,-5.6132837706799196e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,1.5151355415200473e-06,2.4899215843303657e-06,2.617096659989845e-06,1.848659623704257e-06,1.652391109410257e-06,1.6113333636030728e-06
IndSumNormal,Lat,4,1024,10,rqmc,True,23,-8.28127520681352e-06,1.372445082664492e-05,-0.021626893302038715,2.8031806489523436,5.891410886226901e-07,1.0452502570335216e-06,1.0880493534228562e-06,7.317340326972748e-07,6.432270087564758e-07,6.349872305939681e-07
IndSumNormal,Lat,4,1024,10,rqmc,True,27,-5.6132837706799196e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,1.2916229146105165e-06,2.133607764592808e-06,2.2390032089457905e-06,1.5235650611279375e-06,1.3827131380136145e-06,1.3545843186996373e-06
IndSumNormal,Lat,4,1024,10,rqmc,True,27,-8.28127520681352e-06,1.372445082664492e-05,-0.021626893302038715,2.8031806489523436,4.923357423867928e-07,9.034989486169746e-07,9.301245262366593e-07,5.925917187588265e-07,5.322805322412575e-07,5.237938584529156e-07
IndSumNormal,Lat,4,1024,10,rqmc,True,31,-8.28127520681352e-06,1.372445082664492e-05,-0.021626893302038715,2.8031806489523436,4.3143128111381103e-07,8.02119618605723e-07,8.222665531077017e-07,5.101916131188939e-07,4.63212447899348e-07,4.56792342186327e-07
IndSumNormal,Lat,4,1024,10,rqmc,True,31,-5.6132837706799196e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,1.1352398640607972e-06,1.8735021626877958e-06,1.9597042799203255e-06,1.3015576930145316e-06,1.207093110984505e-06,1.178850406477225e-06
IndSumNormal,Lat,4,4096,12,rqmc,True,7,1.4497045103509862e-05,1.9765634721516425e-06,0.20875823551154785,2.8114292171671846,2.907382625162721e-07,4.559964314089636e-07,4.847355937296652e-07,5.815064752001853e-07,3.9196031412820156e-07,4.4084591068136396e-07
IndSumNormal,Lat,4,4096,12,rqmc,True,7,-1.7924829898632454e-05,7.852270469068746e-06,-0.011062898905114112,2.6145349435412433,1.1115668266009102e-06,1.831701149566527e-06,1.964736761199986e-06,2.4137770995163705e-06,1.5523987448128294e-06,1.7874429900142125e-06
