file,TestFunction,dim,DrawMethod,log2n,shift,baker,mean,var,skewness,kurtosis,    ,MSE[A_r],MSE[M_r],MSE[L_r],MSE[N(3)_r],MSE[N(2)_r],MSE[N(3;1.0)_r]
RepsFixedparRQMC/IndSumNormal-4-Lat-RS-6-10000.dat,IndSumNormal,4,Lat,6,RS,False,6.0371068542949936e-05,0.0015540769433593756,-0.11054444272710187,2.5406124283679543,    ,6.757220742067249e-05,0.00014702878015953927,0.00015233307424595747,8.620538023529412e-05,7.514290149025207e-05,7.406231980145567e-05
RepsFixedparRQMC/IndSumNormal-4-Lat-RSB-6-10000.dat,IndSumNormal,4,Lat,6,RS,True,0.00014943356854296935,0.0027716229858398434,-0.4011127327135561,2.367458770372185,    ,0.00012052767760183546,0.00029574909331975307,0.00034491995865605147,0.00017712675731790036,0.00014241606855962355,0.00014352535856324372
RepsFixedparRQMC/IndSumNormal-4-Lat-RS-8-10000.dat,IndSumNormal,4,Lat,8,RS,False,-1.7363306456919635e-05,0.00028862933822631885,-0.1719853108170681,2.794749621777041,    ,1.254940314642498e-05,2.0085128962706364e-05,2.105833979431227e-05,1.555123628213383e-05,1.415125960743241e-05,1.3702835881074113e-05
RepsFixedparRQMC/IndSumNormal-4-Lat-RSB-8-10000.dat,IndSumNormal,4,Lat,8,RS,True,6.115231854310765e-05,0.00018495077575683637,0.05051776991942423,2.7316378018852316,    ,8.045077682447389e-06,1.547450160896335e-05,1.6162280832666572e-05,1.0364154425735613e-05,9.108540546261253e-06,8.952395310284292e-06
RepsFixedparRQMC/IndSumNormal-4-Lat-RS-10-10000.dat,IndSumNormal,4,Lat,10,RS,False,1.4843497931880293e-06,2.0311298131942777e-05,0.19398442940899155,2.6772476205714524,    ,8.831021220744292e-07,1.6354316501527864e-06,1.7815084544106786e-06,1.138886856175881e-06,9.776831849680968e-07,9.698088098311914e-07
RepsFixedparRQMC/IndSumNormal-4-Lat-RSB-10-10000.dat,IndSumNormal,4,Lat,10,RS,True,5.097631043202816e-06,5.2161206016540596e-05,-0.04929267805583183,2.575250731676555,    ,2.2679045083005393e-06,4.430556585865969e-06,4.782256702686561e-06,2.907278964639049e-06,2.519139626537469e-06,2.495811251580695e-06
RepsFixedparRQMC/IndSumNormal-4-Lat-RS-12-10000.dat,IndSumNormal,4,Lat,12,RS,False,-4.021486895899299e-05,1.0285160312651972e-05,0.37116382676011384,2.0805412158879766,    ,4.487981188441704e-07,1.4532161618901175e-06,1.7434449477398087e-06,6.973122585921583e-07,5.422290584914013e-07,5.552966525499473e-07
RepsFixedparRQMC/IndSumNormal-4-Lat-RSB-12-10000.dat,IndSumNormal,4,Lat,12,RS,True,-2.2685572086137513e-05,3.970868527889003e-06,-0.0004271295935529663,2.945265420496324,    ,1.731610929151798e-07,2.701302478730242e-07,2.878092757629305e-07,2.125258831948436e-07,1.8910048356283e-07,1.850514381486538e-07
RepsFixedparRQMC/IndSumNormal-4-Lat-RS-14-10000.dat,IndSumNormal,4,Lat,14,RS,False,-1.5063728597665096e-06,2.8495829924943003e-07,0.05323856317465695,2.8593066664009674,    ,1.239176043090699e-08,1.9303242375187555e-08,2.0701712123517928e-08,1.4815000447315546e-08,1.3237536150104763e-08,1.2929630760233297e-08
RepsFixedparRQMC/IndSumNormal-4-Lat-RSB-14-10000.dat,IndSumNormal,4,Lat,14,RS,True,-9.035723255245744e-08,5.717299936712598e-07,-0.07214070025823427,3.157991192715235,    ,2.4857833976223378e-08,3.766025099329015e-08,3.968972487061938e-08,2.9545708230023147e-08,2.6479963639872757e-08,2.590119926054385e-08
RepsFixedparRQMC/IndSumNormal-4-Lat-RS-16-10000.dat,IndSumNormal,4,Lat,16,RS,False,1.069310690456872e-06,3.7993974834632796e-08,0.052041373032147765,2.9722779495306524,    ,1.6530553746845862e-09,2.580700093045238e-09,2.7698332578711376e-09,2.0105994102599085e-09,1.7915136602705033e-09,1.7598789879353807e-09
RepsFixedparRQMC/IndSumNormal-4-Lat-RSB-16-10000.dat,IndSumNormal,4,Lat,16,RS,True,-7.98365102281291e-07,1.3675490707145775e-07,0.023459676124866137,3.082463063420292,    ,5.94650291168253e-09,9.671333060175162e-09,1.0362348569877795e-08,7.298086797938953e-09,6.5172469979355705e-09,6.413490733591406e-09
RepsRanparRQMC/IndSumNormal-4-Lat-Rp-RS-6-10000.dat,IndSumNormal,4,Lat-Rp,6,RS,False,-0.0005269991190383909,0.0015286375547990557,0.18644671790304929,3.7789050547802416,    ,6.674023045403487e-05,9.612354161609602e-05,9.833792150612114e-05,7.660877496703828e-05,6.960046373176795e-05,6.746829983867847e-05
RepsRanparRQMC/IndSumNormal-4-Lat-Rp-RSB-6-10000.dat,IndSumNormal,4,Lat-Rp,6,RS,True,7.03705414596393e-05,0.00145662932359187,-0.07205316891297346,3.6286996264145563,    ,6.333666173449097e-05,8.740446172635369e-05,8.709999567440191e-05,7.044489759842605e-05,6.651474431374206e-05,6.333369893605058e-05
RepsRanparQMC/IndSumNormal-4-Lat-Rp-6-10000.dat,IndSumNormal,4,Lat-Rp,6,qmc,False,-0.018321990663342898,0.002699521041530914,-0.12695962475736267,2.650188446407742,    ,0.0004530658219341858,0.00046202225008261746,0.0004629841480356103,0.00045830936397465657,0.0004493999369090573,0.00044799075587748484
RepsRanparQMC/IndSumNormal-4-Lat-Rp-B-6-10000.dat,IndSumNormal,4,Lat-Rp,6,qmc,True,0.005416748759777506,0.0022759301420310608,0.23905516285106398,3.0547732791656266,    ,0.00012829465156268422,0.00016941053893101493,0.00017397088668711866,0.00014164713615446735,0.0001328780662067267,0.00013053410821225244
RepsRanparRQMC/IndSumNormal-4-Lat-Rp-RS-8-10000.dat,IndSumNormal,4,Lat-Rp,8,RS,False,-7.477044485519069e-05,0.000381782473166323,0.12306651914331003,6.699033688514917,    ,1.6604828583177018e-05,1.74378788339913e-05,1.747116085201122e-05,1.6335823039689684e-05,1.613074421395931e-05,1.5111059024689011e-05
RepsRanparRQMC/IndSumNormal-4-Lat-Rp-RSB-8-10000.dat,IndSumNormal,4,Lat-Rp,8,RS,True,-0.00013345437289645829,0.00036194679093758635,-0.16328654462152856,5.677484717197166,    ,1.5754627066931548e-05,1.7974409021018553e-05,1.8018303852345817e-05,1.5702478460037716e-05,1.547670238644043e-05,1.4610506041420343e-05
RepsRanparQMC/IndSumNormal-4-Lat-Rp-8-10000.dat,IndSumNormal,4,Lat-Rp,8,qmc,False,-0.00513152574485032,0.000851216169188894,-0.5411488372338276,4.336438465594301,    ,6.334195513044833e-05,5.2065778216028244e-05,5.00483346222678e-05,5.5470855176877706e-05,5.8615723207478753e-05,5.6057609398346254e-05
RepsRanparQMC/IndSumNormal-4-Lat-Rp-B-8-10000.dat,IndSumNormal,4,Lat-Rp,8,qmc,True,0.0018598876415388166,0.0005595889412121806,0.4292808530796598,3.704772529062863,    ,2.7789136004895806e-05,3.274668256686779e-05,3.2933120881009905e-05,2.897015423352761e-05,2.810512917808483e-05,2.6899670852416537e-05
RepsRanparRQMC/IndSumNormal-4-Lat-Rp-RS-10-10000.dat,IndSumNormal,4,Lat-Rp,10,RS,False,0.00029745010297771803,8.822877805804792e-05,0.9719469244979215,30.5251200705998,    ,3.9245103923722344e-06,2.6973033166372667e-06,2.639805533987165e-06,2.9219295664915877e-06,3.167692441586663e-06,2.864816831716386e-06
RepsRanparRQMC/IndSumNormal-4-Lat-Rp-RSB-10-10000.dat,IndSumNormal,4,Lat-Rp,10,RS,True,0.00010328783388615468,8.941819814391033e-05,-0.46636237529319813,15.761645380661387,    ,3.8984161220163e-06,3.279989757861499e-06,3.36255906557912e-06,3.2261601316475737e-06,3.2750521563275183e-06,3.047680262411865e-06
RepsRanparQMC/IndSumNormal-4-Lat-Rp-10-10000.dat,IndSumNormal,4,Lat-Rp,10,qmc,False,-0.0015243598866034596,0.0002240912372167998,-1.070738753051919,9.968319685866868,    ,1.2066770334181356e-05,7.115065913830424e-06,6.7212675828285395e-06,8.434875297303394e-06,9.48800354798311e-06,8.572820463806151e-06
RepsRanparQMC/IndSumNormal-4-Lat-Rp-B-10-10000.dat,IndSumNormal,4,Lat-Rp,10,qmc,True,0.0005720538220814351,0.00014348265098617494,0.9843110965505729,7.257621756737956,    ,6.5656217051916706e-06,6.515992474403763e-06,6.716096563544749e-06,5.997247405589054e-06,5.941494960600244e-06,5.609408266032129e-06
RepsRanparRQMC/IndSumNormal-4-Lat-Rp-RS-12-10000.dat,IndSumNormal,4,Lat-Rp,12,RS,False,-3.0162585241204436e-05,2.286096849336773e-05,1.1702036556417643,89.37253737105726,    ,9.948649334339864e-07,4.3932714807882487e-07,4.226113834139446e-07,4.938845855062249e-07,5.667560248518959e-07,4.96668720643435e-07
RepsRanparRQMC/IndSumNormal-4-Lat-Rp-RSB-12-10000.dat,IndSumNormal,4,Lat-Rp,12,RS,True,1.2900604748406846e-05,2.103018760723715e-05,-0.5489431203093156,49.84226034493407,    ,9.145224085262289e-07,7.075435692277449e-07,7.08397845734789e-07,6.768903316120867e-07,6.966121437940067e-07,6.365245255342532e-07
RepsRanparQMC/IndSumNormal-4-Lat-Rp-12-10000.dat,IndSumNormal,4,Lat-Rp,12,qmc,False,-0.0005339429471684183,5.582269897492538e-05,-2.2233967761126125,33.61430393283118,    ,2.712168939305913e-06,8.397479785164076e-07,7.743648480619298e-07,1.256521710923392e-06,1.6350833526113045e-06,1.3751636977466743e-06
RepsRanparQMC/IndSumNormal-4-Lat-Rp-B-12-10000.dat,IndSumNormal,4,Lat-Rp,12,qmc,True,0.00011336551440050653,3.490184176753896e-05,2.225238305864429,23.051240870973064,    ,1.5303231210526373e-06,1.4989284370337819e-06,1.5149143727653639e-06,1.3083975911516234e-06,1.2691562947921542e-06,1.2016829255964447e-06
RepsRanparRQMC/IndSumNormal-4-Lat-Rp-RS-14-10000.dat,IndSumNormal,4,Lat-Rp,14,RS,False,1.4744122363535423e-05,4.531252292476331e-06,-0.8719952805079099,137.91874766638693,    ,1.9722835838237224e-07,6.82446385961044e-08,6.536310619923589e-08,7.76694737784219e-08,9.255347125579321e-08,8.014165052808709e-08
RepsRanparRQMC/IndSumNormal-4-Lat-Rp-RSB-14-10000.dat,IndSumNormal,4,Lat-Rp,14,RS,True,-3.542671927901834e-05,5.3234691597061125e-06,-7.169160246135115,227.59229870217655,    ,2.3271023329566187e-07,1.3570839227120166e-07,1.3506669359626432e-07,1.2853236590583146e-07,1.3407966149486482e-07,1.2262709610948817e-07
RepsRanparQMC/IndSumNormal-4-Lat-Rp-14-10000.dat,IndSumNormal,4,Lat-Rp,14,qmc,False,-0.00010612183358397727,1.5574325043928537e-05,-7.171791677322157,159.66287162544165,    ,6.88406410690553e-07,1.1188892129185578e-07,1.0405828510524611e-07,1.595421227465323e-07,2.605001734023354e-07,1.773410976580256e-07
RepsRanparQMC/IndSumNormal-4-Lat-Rp-B-14-10000.dat,IndSumNormal,4,Lat-Rp,14,qmc,True,6.562659475019371e-05,8.91353861460499e-06,4.454159785691921,78.2200448049382,    ,3.9185200709524486e-07,2.819151933915538e-07,2.835006080885951e-07,2.670856272931863e-07,2.716144011755954e-07,2.5209764652558354e-07
RepsRanparRQMC/IndSumNormal-4-Lat-Rp-RS-16-10000.dat,IndSumNormal,4,Lat-Rp,16,RS,False,3.204232682603581e-05,1.4485819584125158e-06,7.430258201949239,396.3652934696882,    ,6.400853498723153e-08,1.0657534090970007e-08,1.0324547069753576e-08,1.2577419908581508e-08,1.5678250772729947e-08,1.307146165921737e-08
RepsRanparRQMC/IndSumNormal-4-Lat-Rp-RSB-16-10000.dat,IndSumNormal,4,Lat-Rp,16,RS,True,-5.756633625102037e-07,1.0110535933240636e-06,1.0616172615391462,110.63799245211626,    ,4.3959183271961877e-08,2.3209711252970312e-08,2.294315037267482e-08,2.373082166729811e-08,2.5647934610252184e-08,2.340957116955522e-08
