file,TestFunction,dim,DrawMethod,shift,log2n,baker,rDrawn,mean,var,skewness,kurtosis,    ,MSE[A_r],MSE[M_r],MSE[L_r],MSE[N(3)_r],MSE[N(2)_r],MSE[N(3;1.0)_r]
RepsFixedparRQMC/Fper2-4-Lat-RSB-8-10000.dat,Fper2,4,Lat,RS,8,True,11,-5.52872083383775e-06,2.29932263963781e-07,0.00793505339209358,1.74777022619541,    ,2.09334998416749e-08,6.19508649354124e-08,7.00917567688095e-08,5.21545100455115e-08,3.02298009770911e-08,3.58269548351365e-08
RepsFixedparRQMC/Fper2-4-Lat-RSB-8-10000.dat,Fper2,4,Lat,RS,8,True,15,-5.52872083383775e-06,2.29932263963781e-07,0.00793505339209358,1.74777022619541,    ,1.53593843516439e-08,4.86554294001694e-08,5.63440248402769e-08,2.93932189550839e-08,1.95371293402714e-08,2.12500117215931e-08
RepsFixedparRQMC/Fper2-4-Lat-RSB-8-10000.dat,Fper2,4,Lat,RS,8,True,19,-5.52872083383775e-06,2.29932263963781e-07,0.00793505339209358,1.74777022619541,    ,1.21322648574154e-08,4.05309036619338e-08,4.7617934863789e-08,1.98653223051137e-08,1.44010769119579e-08,1.51709644568783e-08
RepsFixedparRQMC/Fper2-4-Lat-RSB-8-10000.dat,Fper2,4,Lat,RS,8,True,23,-5.52872083383775e-06,2.29932263963781e-07,0.00793505339209358,1.74777022619541,    ,1.00276217090055e-08,3.4438310238811e-08,4.10854531777515e-08,1.45877203243223e-08,1.14471248660031e-08,1.17590240119445e-08
RepsFixedparRQMC/Fper2-4-Lat-RSB-8-10000.dat,Fper2,4,Lat,RS,8,True,27,-5.52872083383775e-06,2.29932263963781e-07,0.00793505339209358,1.74777022619541,    ,8.54657653049483e-09,2.97454894712356e-08,3.58758585752085e-08,1.13093229539463e-08,9.36545676015751e-09,9.4564262883743e-09
RepsFixedparRQMC/Fper2-4-Lat-RSB-8-10000.dat,Fper2,4,Lat,RS,8,True,31,-5.52872083383775e-06,2.29932263963781e-07,0.00793505339209358,1.74777022619541,    ,7.44773655934176e-09,2.68642065694608e-08,3.26803400587164e-08,9.54505135497517e-09,8.12657246780353e-09,8.21730688286029e-09
RepsFixedparRQMC/Fper2-4-Lat-RS-10-10000.dat,Fper2,4,Lat,RS,10,False,11,-8.91200377594985e-10,1.13038687023775e-12,0.0039404289483771,1.49984869633015,    ,1.02763236986999e-13,3.62924709427262e-13,4.10758976237823e-13,3.1301440953587e-13,1.59334934917996e-13,2.13576800292503e-13
RepsFixedparRQMC/Fper2-4-Lat-RS-10-10000.dat,Fper2,4,Lat,RS,10,False,15,-8.91200377594985e-10,1.13038687023775e-12,0.0039404289483771,1.49984869633015,    ,7.53599189206296e-14,2.86855657617579e-13,3.36091182903435e-13,1.62059877178526e-13,1.0095238762823e-13,1.1493969741589e-13
RepsFixedparRQMC/Fper2-4-Lat-RS-10-10000.dat,Fper2,4,Lat,RS,10,False,19,-8.91200377594985e-10,1.13038687023775e-12,0.0039404289483771,1.49984869633015,    ,5.94948400400998e-14,2.36442986964928e-13,2.85699221362152e-13,1.09031446362622e-13,7.32694527962923e-14,8.10419821192787e-14
RepsFixedparRQMC/Fper2-4-Lat-RS-10-10000.dat,Fper2,4,Lat,RS,10,False,23,-8.91200377594985e-10,1.13038687023775e-12,0.0039404289483771,1.49984869633015,    ,4.91480494658413e-14,2.01442412771764e-13,2.49089057032239e-13,7.71465071404023e-14,5.83396148903859e-14,6.10305756011741e-14
RepsFixedparRQMC/Fper2-4-Lat-RS-10-10000.dat,Fper2,4,Lat,RS,10,False,27,-8.91200377594985e-10,1.13038687023775e-12,0.0039404289483771,1.49984869633015,    ,4.18669746172889e-14,1.77933926566741e-13,2.23501041380201e-13,6.10439972885305e-14,4.86908615649476e-14,4.99688074305717e-14
RepsFixedparRQMC/Fper2-4-Lat-RS-10-10000.dat,Fper2,4,Lat,RS,10,False,31,-8.91200377594985e-10,1.13038687023775e-12,0.0039404289483771,1.49984869633015,    ,3.64648868264275e-14,1.57609856225824e-13,2.01621078406358e-13,4.99253611602042e-14,4.16975885755724e-14,4.23081333806303e-14
RepsFixedparRQMC/Fper2-4-Lat-RSB-10-10000.dat,Fper2,4,Lat,RS,10,True,11,-3.76753270667732e-08,4.41215774072138e-12,0.0287196080537299,2.06807576702104,    ,4.02524679426078e-13,8.48413328287951e-13,9.5901145595119e-13,8.0251121794513e-13,5.41310140794146e-13,5.84265386078001e-13
RepsFixedparRQMC/Fper2-4-Lat-RSB-10-10000.dat,Fper2,4,Lat,RS,10,True,15,-3.76753270667732e-08,4.41215774072138e-12,0.0287196080537299,2.06807576702104,    ,2.95563279651014e-13,6.48763189584138e-13,7.42772940579704e-13,4.77790133260876e-13,3.63537445137227e-13,3.68009505485527e-13
RepsFixedparRQMC/Fper2-4-Lat-RSB-10-10000.dat,Fper2,4,Lat,RS,10,True,19,-3.76753270667732e-08,4.41215774072138e-12,0.0287196080537299,2.06807576702104,    ,2.33638258728609e-13,5.25853610221731e-13,6.06969697423106e-13,3.37961377126982e-13,2.75276638098047e-13,2.73465270547638e-13
RepsFixedparRQMC/Fper2-4-Lat-RSB-10-10000.dat,Fper2,4,Lat,RS,10,True,23,-3.76753270667732e-08,4.41215774072138e-12,0.0287196080537299,2.06807576702104,    ,1.93252375518344e-13,4.57800871872444e-13,5.29567440095369e-13,2.66546024635058e-13,2.23635243605989e-13,2.23483158146216e-13
RepsFixedparRQMC/Fper2-4-Lat-RSB-10-10000.dat,Fper2,4,Lat,RS,10,True,27,-3.76753270667732e-08,4.41215774072138e-12,0.0287196080537299,2.06807576702104,    ,1.64832679925936e-13,3.90942592129666e-13,4.55368233295041e-13,2.12468367124445e-13,1.83159525972985e-13,1.82791691530325e-13
RepsFixedparRQMC/Fper2-4-Lat-RSB-10-10000.dat,Fper2,4,Lat,RS,10,True,31,-3.76753270667732e-08,4.41215774072138e-12,0.0287196080537299,2.06807576702104,    ,1.43747099325117e-13,3.52565130694462e-13,4.09509585160652e-13,1.80648273790356e-13,1.59298377752651e-13,1.58493411782549e-13
RepsFixedparRQMC/Fper2-4-Lat-RS-12-10000.dat,Fper2,4,Lat,RS,12,False,11,3.11964572e-13,7.04020713476653e-21,-0.00503477192164555,1.97243929185246,    ,6.40116152327504e-22,1.50702048559949e-21,1.71030498847128e-21,1.41010116297552e-21,8.93898059389968e-22,1.00563113938771e-21
RepsFixedparRQMC/Fper2-4-Lat-RS-12-10000.dat,Fper2,4,Lat,RS,12,False,15,3.11964572e-13,7.04020713476653e-21,-0.00503477192164555,1.97243929185246,    ,4.69444464211952e-22,1.16484661287496e-21,1.34180975877337e-21,8.08619248265164e-22,5.96609642293341e-22,6.09343180673936e-22
RepsFixedparRQMC/Fper2-4-Lat-RS-12-10000.dat,Fper2,4,Lat,RS,12,False,19,3.11964572e-13,7.04020713476653e-21,-0.00503477192164555,1.97243929185246,    ,3.70634539513474e-22,9.76424734801541e-22,1.13127859928042e-21,5.70328774366488e-22,4.44822219979482e-22,4.52873875118688e-22
RepsFixedparRQMC/Fper2-4-Lat-RS-12-10000.dat,Fper2,4,Lat,RS,12,False,23,3.11964572e-13,7.04020713476653e-21,-0.00503477192164555,1.97243929185246,    ,3.06193284275337e-22,8.29344309313235e-22,9.66228837663425e-22,4.33923263624548e-22,3.52121191804767e-22,3.57074392567438e-22
RepsFixedparRQMC/Fper2-4-Lat-RS-12-10000.dat,Fper2,4,Lat,RS,12,False,27,3.11964572e-13,7.04020713476653e-21,-0.00503477192164555,1.97243929185246,    ,2.60845734292943e-22,7.2604530003023e-22,8.49200252665107e-22,3.49268573000878e-22,2.99535047404246e-22,2.98236429015702e-22
RepsFixedparRQMC/Fper2-4-Lat-RS-12-10000.dat,Fper2,4,Lat,RS,12,False,31,3.11964572e-13,7.04020713476653e-21,-0.00503477192164555,1.97243929185246,    ,2.27200777854394e-22,6.46324028188251e-22,7.60454107426731e-22,2.93737282750792e-22,2.5608227777029e-22,2.55722802143617e-22
RepsFixedparRQMC/Fper2-4-Lat-RSB-12-10000.dat,Fper2,4,Lat,RS,12,True,11,3.40717435600005e-12,1.89530583261264e-18,-0.00603564418085733,2.20292538458679,    ,1.72312139074605e-19,3.30228902118879e-19,3.70582148368895e-19,3.27032931710644e-19,2.28777535611293e-19,2.41140523547057e-19
RepsFixedparRQMC/Fper2-4-Lat-RSB-12-10000.dat,Fper2,4,Lat,RS,12,True,15,3.40717435600005e-12,1.89530583261264e-18,-0.00603564418085733,2.20292538458679,    ,1.26365331011268e-19,2.4647669277654e-19,2.80061466398308e-19,1.99835305493358e-19,1.54245759343696e-19,1.55845243310503e-19
RepsFixedparRQMC/Fper2-4-Lat-RSB-12-10000.dat,Fper2,4,Lat,RS,12,True,19,3.40717435600005e-12,1.89530583261264e-18,-0.00603564418085733,2.20292538458679,    ,9.97645473956524e-20,1.99856757529192e-19,2.28476120983604e-19,1.44339393041324e-19,1.1689042429029e-19,1.17098691446982e-19
RepsFixedparRQMC/Fper2-4-Lat-RSB-12-10000.dat,Fper2,4,Lat,RS,12,True,23,3.40717435600005e-12,1.89530583261264e-18,-0.00603564418085733,2.20292538458679,    ,8.24162102550333e-20,1.66702705942914e-19,1.91606810448946e-19,1.11567589929598e-19,9.37403753307368e-20,9.39328018398381e-20
RepsFixedparRQMC/Fper2-4-Lat-RSB-12-10000.dat,Fper2,4,Lat,RS,12,True,27,3.40717435600005e-12,1.89530583261264e-18,-0.00603564418085733,2.20292538458679,    ,7.0208121156079e-20,1.43325110852293e-19,1.65470195626199e-19,9.22212579062592e-20,8.04122569405626e-20,7.94746952663191e-20
RepsFixedparRQMC/Fper2-4-Lat-RSB-12-10000.dat,Fper2,4,Lat,RS,12,True,31,3.40717435600005e-12,1.89530583261264e-18,-0.00603564418085733,2.20292538458679,    ,6.11505066633065e-20,1.26746973930364e-19,1.46420417390621e-19,7.67206738286107e-20,6.809572389688e-20,6.77763587434497e-20
RepsFixedparRQMC/Fper2-4-Lat-RS-14-10000.dat,Fper2,4,Lat,RS,14,False,11,-1.16590200000001e-15,3.74878367986864e-26,-0.0517569964367542,2.37461613552515,    ,3.40934449099055e-27,5.7162706029823e-27,6.35161489157866e-27,6.03970395081286e-27,4.27545240888219e-27,4.50928542801358e-27
