file,TestFunction,dim,DrawMethod,shift,log2n,baker,mean,var,skewness,kurtosis,    ,MSE[A_r],MSE[M_r],MSE[L_r],MSE[N(3)_r],MSE[N(2)_r],MSE[N(3;1.0)_r]
RepsRandparRQMC/Fper2-4-Lat-Rp-RS-12-10000.dat,Fper2,4,Lat-Rp,RS,12,False,0.00000420563691303,0.00000058940421858,39.15697147605098394,2761.06046181935107597,    ,0.00000005359988907,0.00000000000000008,0.00000000000000097,0.00000000000015794,0.00000000005069171,0.00000000000030576
RepsRandparRQMC/Fper2-4-Lat-Rp-RSB-12-10000.dat,Fper2,4,Lat-Rp,RS,12,True,-0.00002191108136976,0.00000159807159308,-23.85820997481158656,1378.62865673194096416,    ,0.00000014575933122,0.00000000000000009,0.00000000000000066,0.00000000000023646,0.00000000008799280,0.00000000000027816
RepsRandparRQMC/Fper2-4-Lat-Rp-RS-14-10000.dat,Fper2,4,Lat-Rp,RS,14,False,-0.00000367741969472,0.00000004270675645,-56.73249246786244981,3441.72420640671953151,    ,0.00000000389595582,0.00000000000000000,0.00000000000000000,0.00000000000000033,0.00000000000060967,0.00000000000000070
RepsRandparRQMC/Fper2-4-Lat-Rp-RSB-14-10000.dat,Fper2,4,Lat-Rp,RS,14,True,-0.00000657063309274,0.00000023509701733,-90.02264111718409367,8626.03563708874571603,    ,0.00000002141562934,0.00000000000000000,0.00000000000000000,0.00000000000000067,0.00000000000062265,0.00000000000000177
RepsRandparRQMC/Fper2-4-Lat-Rp-RS-16-10000.dat,Fper2,4,Lat-Rp,RS,16,False,-0.00000086692524566,0.00000000648791635,-94.17122274098143464,9221.31453199789939390,    ,0.00000000059056214,0.00000000000000000,0.00000000000000000,0.00000000000000001,0.00000000000001949,0.00000000000000001
RepsRandparRQMC/Fper2-4-Lat-Rp-RSB-16-10000.dat,Fper2,4,Lat-Rp,RS,16,True,-0.00000108282917956,0.00000000692792904,-90.16492514355350352,8598.11890201187270577,    ,0.00000000063098425,0.00000000000000000,0.00000000000000000,0.00000000000000001,0.00000000000001246,0.00000000000000002
RepsRandparQMC/Fper2-4-Lat-Rp-6-10000.dat,Fper2,4,Lat-Rp,qmc,6,False,0.00375063409764184,0.00012508219296013,4.01683564855206487,18.67304877864369317,    ,0.00002543836458531,0.00000043498826032,0.00000033211958270,0.00000288507162239,0.00000941134206841,0.00000423260062153
RepsRandparQMC/Fper2-4-Lat-Rp-B-6-10000.dat,Fper2,4,Lat-Rp,qmc,6,True,0.00375063409764175,0.00012508219296013,4.01683564855207376,18.67304877864376067,    ,0.00002543836458531,0.00000043498826032,0.00000033211958270,0.00000288507162239,0.00000941134206841,0.00000423260062153
RepsRandparQMC/Fper2-4-Lat-Rp-8-10000.dat,Fper2,4,Lat-Rp,qmc,8,False,0.00098143347950914,0.00003632575371617,8.18023656870564686,72.26090858664213101,    ,0.00000426555292163,0.00000000105562456,0.00000000089397320,0.00000004667205631,0.00000050705883537,0.00000007665663702
RepsRandparQMC/Fper2-4-Lat-Rp-B-8-10000.dat,Fper2,4,Lat-Rp,qmc,8,True,0.00098143347950908,0.00003632575371617,8.18023656870570548,72.26090858664311156,    ,0.00000426555292163,0.00000000105562456,0.00000000089397320,0.00000004667205631,0.00000050705883537,0.00000007665663702
